iso3,year,value
HRV,2005,55.5307217475444
HRV,2004,55.5890878734365
HRV,2003,55.6386960202113
HRV,2002,55.6745468592554
HRV,2001,55.6913829056559
HRV,2000,55.6818319251231
CUB,2020,77.1080322265625
CUB,2019,77.0728225708008
CUB,2018,77.0156326293945
CUB,2017,76.9603271484375
CUB,2016,76.9115829467773
CUB,2015,76.8702850341797
CUB,2014,76.8442459106445
CUB,2013,76.81640625
CUB,2012,76.7776920066844
CUB,2011,76.707663902788
CUB,2010,76.6099132468685
CUB,2009,76.4930251871133
CUB,2008,76.365461375763
CUB,2007,76.2356834650585
CUB,2006,76.1121531072403
CUB,2005,76.0033319545493
CUB,2004,75.917681659226
CUB,2003,75.8636638735113
CUB,2002,75.8514891112497
CUB,2001,75.887565612793
CUB,2000,75.635383605957
CYP,2020,66.7180443478713
CYP,2019,66.7677357070518
CYP,2018,66.8255530496405
CYP,2017,66.8907450570326
CYP,2016,66.9625604106231
CYP,2015,67.0402477918073
CYP,2014,67.1230558819804
CYP,2013,67.2102333625375
CYP,2012,67.3010289148738
CYP,2011,67.3979892758544
CYP,2010,67.5229111556342
CYP,2009,67.6836053786548
CYP,2008,67.8666261318649
CYP,2007,68.0604154001212
CYP,2006,68.2534151682801
CYP,2005,68.4340674211981
CYP,2004,68.5908141437316
CYP,2003,68.7120973207373
CYP,2002,68.7863589370716
CYP,2001,68.8024068077544
CYP,2000,68.7726966799379
CZE,2020,72.7254901604208
CZE,2019,72.7876426709563
CZE,2018,72.8498744351241
CZE,2017,72.9121853567256
CZE,2016,72.9745753395623
CZE,2015,73.0370442874355
CZE,2014,73.0995921041469
CZE,2013,73.1622186934979
CZE,2012,73.2249239592898
CZE,2011,73.2878338394746
CZE,2010,73.3495599222723
CZE,2009,73.4084890302159
CZE,2008,73.4655517409377
CZE,2007,73.5219493596925
CZE,2006,73.578883191735
CZE,2005,73.6375545423198
CZE,2004,73.6991647167017
CZE,2003,73.7649150201353
CZE,2002,73.8360067578753
CZE,2001,73.9131752504002
CZE,2000,74.0038256456769
DNK,2020,88.2394485473632
DNK,2019,88.2096490810669
DNK,2018,88.1059762310689
DNK,2017,88.0161943799509
DNK,2016,87.6999969482422
DNK,2015,87.7254056577329
DNK,2014,87.6823985731907
DNK,2013,87.5436524760432
DNK,2012,87.2336196899414
DNK,2011,87.1567653955846
DNK,2010,86.8652420043945
DNK,2009,86.7617653139929
DNK,2008,86.583137512207
DNK,2007,86.4251464366349
DNK,2006,86.2501288149818
DNK,2005,86.0059706832865
DNK,2004,85.7130276911593
DNK,2003,85.4199981689453
DNK,2002,85.3000030517578
DNK,2001,85.188307882087
DNK,2000,85.0999984741211
DJI,2020,71.9990170519895
DJI,2019,71.7418146554518
DJI,2018,71.5153442785902
DJI,2017,71.318261933957
DJI,2016,71.1492236341041
DJI,2015,71.0068853915837
DJI,2014,70.8899032189478
DJI,2013,70.7969331287484
DJI,2012,70.7266311335377
DJI,2011,70.6776532458676
DJI,2010,70.6486554782903
DJI,2009,70.6383251554484
DJI,2008,70.6793730584341
DJI,2007,70.8118125191918
DJI,2006,71.0245352095823
DJI,2005,71.3061450044404
DJI,2004,71.6452457786012
DJI,2003,72.0304414068997
DJI,2002,72.4503357641707
DJI,2001,72.8935327252495
DJI,2000,73.3486361649708
DMA,2020,71.846576780589
DMA,2019,71.4382284948964
DMA,2018,71.0362526779762
DMA,2017,70.6405848604787
DMA,2016,70.2511605730541
DMA,2015,69.8679153463528
DMA,2014,69.4907847110252
DMA,2013,69.119704197722
DMA,2012,68.754609337094
DMA,2011,68.3978165602727
DMA,2010,67.9983269911984
DMA,2009,67.6071900939817
DMA,2008,67.232264436023
DMA,2007,66.877081776731
DMA,2006,66.5451738755145
DMA,2005,66.2400724917823
DMA,2004,65.9653093849432
DMA,2003,65.7244163144059
DMA,2002,65.5209250395792
DMA,2001,65.3586067945228
DMA,2000,65.2352744316641
DOM,2020,73.2643793773663
DOM,2019,73.5403464672933
DOM,2018,73.7589255716938
DOM,2017,73.926806252977
DOM,2016,74.0506780735522
DOM,2015,74.1372305958285
DOM,2014,74.1931533822153
DOM,2013,74.2251359951216
DOM,2012,74.2398679969568
DOM,2011,74.2440389501301
DOM,2010,74.1642773174177
DOM,2009,73.5894974865426
DOM,2008,72.4865154265802
DOM,2007,71.0193434994977
DOM,2006,69.333853706035
DOM,2005,67.5759180469321
DOM,2004,65.8914085229291
DOM,2003,64.426197134766
DOM,2002,63.2914022524877
DOM,2001,62.2979450293469
DOM,2000,61.3128549215919
ECU,2020,63.0773897782521
ECU,2019,63.0627139714638
ECU,2018,63.0433276812321
ECU,2017,63.0194591842425
ECU,2016,62.9913367571804
ECU,2015,62.959188676731
ECU,2014,62.9232432195799
ECU,2013,62.8837286624122
ECU,2012,62.8408732819135
ECU,2011,62.7949053547691
ECU,2010,62.7405258611644
ECU,2009,62.6588021150118
ECU,2008,62.5395521004212
ECU,2007,62.3887552077227
ECU,2006,62.2099988435587
ECU,2005,62.0068704145716
ECU,2004,61.7829573274038
